"","hm_list_v"
"600",1.90014467457479
"601",1.7401359414802
"602",1.9263642216185
"603",1.75423754581966
"604",2.05654586197004
"605",1.78678044843672
"606",1.88848120589363
"607",1.84623775333454
"608",2.02590167336897
"609",1.89012259558122
"610",2.02446881810061
"611",2.04681738627993
"612",1.7958467162585
"613",1.99760126754932
"614",2.1245953062168
"615",1.9028782622921
"616",1.97296722315076
"617",1.88606892835063
"618",2.05453881022254
"619",2.02370864582425
"620",2.06966156006245
"621",1.79504826325478
"622",1.82850340451453
"623",1.81601456219774
"624",1.90136556920721
"625",1.77519483577914
"626",1.94065824806591
"627",1.93607978192015
"628",1.96109903341917
"629",1.99025937094455
"630",2.01547383683766
"631",1.88712562043471
"632",1.93405408982267
"633",1.85291106734312
"634",1.96853035549581
"635",1.83475892911492
"636",1.87203361986023
"637",1.76686253691746
"638",1.8355969165238
"639",1.94057436155548
"640",1.65244937466887
"641",1.85592213131772
"642",1.8953551158401
"643",1.843347235425
"644",1.94269357681185
"645",2.25388268836913
"646",1.97679923033115
"647",1.68249671112398
"648",1.83701101965328
"649",1.96953491734158
"650",1.89068084543928
"651",1.89879965321378
"652",1.85620464882776
"653",1.81383593276694
"654",1.99440812057088
"655",1.90298885121892
"656",1.74579805626267
"657",1.8309888254242
"658",1.92361596718883
"659",1.89850737205021
"660",1.89256311781214
"661",1.83301020527844
"662",1.91585186580786
"663",1.75464339137237
"664",1.6840769366529
"665",2.06640228287666
"666",1.95179995504159
"667",1.92014655106741
"668",1.79375273066607
"669",2.04789977818486
"670",1.79298701211203
"671",1.89380056231515
"672",1.98460975121005
"673",1.92729962895059
"674",2.01192168529607
"675",1.88316319899088
"676",1.81210046023599
"677",2.13260317553246
"678",1.90137458510184
"679",1.81222980046319
"680",1.97083236146532
"681",1.79519892185711
"682",1.87295982625889
"683",2.21707405790599
"684",1.9723240885413
"685",1.79327069515576
"686",1.81632400978064
"687",2.0952125211655
"688",1.77575105209134
"689",1.96540718621037
"690",2.01109743404073
"691",1.72504124336
"692",1.83028388046057
"693",2.0785019861809
"694",1.93999875846477
"695",1.98071963068163
"696",1.791451557835
"697",1.87381027478965
"698",1.99832327082724
"699",1.73546128348453
"700",1.80323441210193
"701",1.89180197402359
"702",2.07125077342855
"703",1.73433308769631
"704",1.85147760640684
"705",1.79422257554738
"706",2.06776631372383
"707",2.22747050770376
"708",2.00552848706524
"709",1.78283113793771
"710",1.93633690077814
"711",1.97158122908095
"712",1.8412064323823
"713",1.76885173100754
"714",1.95791714927524
"715",1.98755217846212
"716",1.84272988470513
"717",1.75279439954411
"718",1.8508822970089
"719",2.07620220253481
"720",1.98902940498803
"721",1.87988468432893
"722",1.96014649856178
"723",1.9672589687879
"724",1.75829808080622
"725",2.03048299590513
"726",1.72316725798635
"727",1.96631645542615
"728",1.89031681212463
"729",1.86414582102735
"730",1.95419271874097
"731",2.03095087700813
"732",1.9113829762638
"733",2.0497936351847
"734",1.960440964417
"735",1.94200693312457
"736",2.0394085560957
"737",1.92060642277158
"738",2.03341095408602
"739",2.02907577803533
"740",1.87246243416131
"741",1.88671130888811
"742",1.89628702160525
"743",1.91497305186534
"744",1.98798917017385
"745",1.97250566866167
"746",1.9240580842922
"747",1.68341131963807
"748",1.99114482715041
"749",1.8465823460311
"750",2.14105648725844
"751",1.78260024763121
"752",1.93017766950099
"753",2.01554069507255
"754",1.90748531957097
"755",2.0351418013906
"756",1.88828719266834
"757",1.94990080927675
"758",1.94300802092599
"759",1.92592904860005
"760",1.87024394590898
"761",1.76921999097438
"762",1.92914263842427
"763",2.08121012846558
"764",1.71232864467368
"765",1.74410308549733
"766",1.92835202461245
"767",2.12335218797737
"768",2.1195429954464
"769",1.81586472246298
"770",2.01362325726589
"771",2.06897666471826
"772",1.88342770448635
"773",1.98776359284397
"774",1.96065200640734
"775",1.7732681223043
"776",2.04374117224037
"777",2.00984406622484
"778",1.62283117387486
"779",1.75354330251343
"780",1.99101354791974
"781",1.69400588664446
"782",1.8220485345246
"783",1.96121759984487
"784",1.80857109960113
"785",1.88450492989018
"786",1.78240238593894
"787",2.03383789772241
"788",1.77904197422262
"789",1.82822378870039
"790",1.94593359523178
"791",1.75945400254107
"792",2.17629534288296
"793",2.14452101163282
"794",1.77171038092415
"795",2.04518770946884
"796",1.80516950002814
"797",1.99463762497844
"798",1.97197606205455
"799",2.04247596347404
"800",1.96800221765979
"801",1.92223853962245
"802",2.04038263825394
"803",1.82325457154015
"804",2.01348276246821
"805",1.75301358491646
"806",2.07414004919029
"807",1.85351689815836
"808",1.83437395618119
"809",1.95516168404957
"810",1.87601629224879
"811",1.69696222305956
"812",1.9867279507665
"813",1.74088997897998
"814",1.90009436950179
"815",1.68548549320427
"816",1.81822201116914
"817",2.04052207500718
"818",1.84449784267738
"819",1.8939448279668
"820",1.94232261967118
"821",1.91173932073594
"822",1.91866057171196
"823",1.88792618935242
"824",1.86668473155351
"825",1.72154247165546
"826",1.92990634076588
"827",1.9658784622618
"828",2.03890497872999
"829",1.84823129938031
"830",1.90572086785562
"831",1.74123357088266
"832",1.80413378710616
"833",1.87881890567577
"834",1.88304356242241
"835",1.98405330241837
"836",1.91611922938546
"837",1.95879454396282
"838",1.96024073023373
"839",1.69394505502631
"840",1.87621295907115
"841",1.92861566053334
"842",1.84763371673948
"843",1.89609403023187
"844",1.79167442563435
"845",1.87509852236782
"846",1.93591457743117
"847",2.08922256640911
"848",2.07695861132543
"849",1.91673789321423
"850",2.02008014473744
"851",1.59978304540261
"852",1.90924871947547
"853",1.85597381037122
"854",1.90454162265512
"855",1.89467129748243
"856",1.84536735432102
"857",1.82767157448568
"858",1.84656713441797
"859",1.62293817760294
"860",1.8415244280604
"861",1.79183407414622
"862",2.12312207926792
"863",1.87211349906147
"864",1.82338699885042
"865",1.96915366657316
"866",1.89531297820443
"867",1.75261937594167
"868",1.95169173816521
"869",1.96066380554324
"870",1.91695135760079
"871",1.87728064341851
"872",1.83198047592047
"873",1.96387579342786
"874",2.08086057308954
"875",1.88587003012761
"876",1.85042336486461
"877",1.91968411251901
"878",1.96655032122768
"879",1.94476878840789
"880",1.95705101457941
"881",1.96955319475873
"882",1.90334109456511
"883",2.11872055242136
"884",2.05995029715634
"885",1.94363825036207
"886",1.86367827415583
"887",1.93271602240472
"888",1.91257941031381
"889",2.02004130048409
"890",1.83486129171614
"891",1.94325870386539
"892",2.0638871250831
"893",1.93579121069781
"894",2.00114600976067
"895",1.74204717129856
"896",1.91027354791793
"897",1.80549849189897
"898",2.02260142769493
"899",2.00463115050655
"900",1.92349081631939
"901",1.7261848078169
"902",2.03194992351904
"903",1.80076770092258
"904",2.05786361672245
"905",1.88754336227804
"906",1.80108125063473
"907",1.94828999388269
"908",1.82612743501588
"909",1.91195351315833
"910",1.90407912419596
"911",1.989834111536
"912",1.88002389875137
"913",1.57426843250323
"914",1.90981218650545
"915",1.81813210958539
"916",1.85153448094732
"917",1.78318981000572
"918",1.96006538810317
"919",1.6807103445982
"920",1.83960590280672
"921",1.7852049824178
"922",1.98045328632279
"923",1.82967991440185
"924",2.04738721807294
"925",1.95546980634846
"926",1.82382519288937
"927",1.98674425201776
"928",1.90417503829459
"929",1.88808945235496
"930",1.92653981462586
"931",1.95752672774846
"932",2.03361862522374
"933",1.72740392146707
"934",1.89232093204778
"935",1.85674842289949
"936",1.92583327243103
"937",1.86239481503508
"938",1.87746171030322
"939",1.95890812222881
"940",1.70855366297704
"941",1.99189604558385
"942",2.15611842631842
"943",1.82767252640831
"944",1.86381616071725
"945",1.91794839709793
"946",1.94712717806918
"947",1.90466208218916
"948",1.79430298507954
"949",1.9704187097515
"950",2.27526310612098
"951",1.85696598939981
"952",1.78503473576644
"953",1.5795856643728
"954",1.91152816141543
"955",1.8499771620053
"956",1.79285581698352
"957",1.6958823852851
"958",1.76525892822111
"959",1.98246286763331
"960",1.87218696560918
"961",1.95899473177403
"962",1.74514685732289
"963",1.75694316843992
"964",1.77241553009588
"965",2.10110922050902
"966",2.01214643953869
"967",2.00517413914703
"968",1.91339578424678
"969",1.96447175787093
"970",1.87495115087784
"971",1.69522889199694
"972",1.76093762590774
"973",2.05557737776988
"974",1.98787476844551
"975",1.85550372984914
"976",1.84226302152549
"977",1.92429653246772
"978",2.21028656695852
"979",1.97727806153932
"980",2.01564642215796
"981",1.93428556074938
"982",2.05229451843742
"983",1.88873519308393
"984",1.72606653936213
"985",2.0257858024601
"986",1.90668370992572
"987",1.67639979050478
"988",1.68464937848698
"989",1.92119886035195
"990",1.73303874062132
"991",1.98757490480368
"992",1.77748526022694
"993",2.01360912905554
"994",1.95308662628433
"995",1.96783991635645
"996",1.9892867057715
"997",1.66646986369657
"998",2.06317589000289
"999",2.07784409607446
"1000",1.84574140995539
